User,Jitter
1,4.46549e-06
2,3.29615e-05
3,0.145933
4,0.0263714
5,0.000469792
6,0.0001726
1,8.30427e-05
2,0.228203
3,0.137188
4,0.0906628
5,0.000327135
6,7.43654e-06
1,4.63715e-06
2,9.0556e-06
3,0.192507
4,0.192476
5,0.000272194
6,1.36187e-05
1,4.46549e-06
2,0.198267
3,0.19824
4,0.0594924
5,0.000271434
6,4.46549e-06
1,7.67221e-06
2,2.95768e-05
3,2.00275e-05
4,0.00857472
5,0.00815905
6,0.00780683
1,0.000204172
2,0.159718
3,0.159884
4,0.0551666
5,0.000297031
6,1.28461e-05
1,2.09112e-05
2,0.217832
3,0.00239823
4,0.219828
5,0.000309494
6,4.19298e-05
1,4.8556e-05
2,2.91437e-05
3,4.67976e-05
4,9.00095e-06
5,0.000271429
6,8.93842e-06
1,0.000100893
2,0.180716
3,0.172464
4,0.196054
5,0.000280265
6,9.42375e-06
1,6.52383e-05
2,0.178657
3,0.178693
4,0.230391
5,0.00031808
6,3.55677e-05
1,4.46549e-06
2,0.222484
3,0.219928
4,0.00251079
5,0.000283793
6,4.05612e-06
1,7.46062e-06
2,1.67956e-05
3,0.124279
4,0.124267
5,0.000373914
6,8.7993e-05
1,0.000650772
2,0.200822
3,0.201479
4,0.279867
5,0.000347908
6,2.34741e-05
1,1.34929e-05
2,0.126563
3,0.105706
4,0.0233583
5,0.0209496
6,0.0205619
1,8.69429e-06
2,0.058047
3,0.0580246
4,0.0610171
5,0.000271473
6,4.69771e-06
