User,Delay,Throughput,EnergyConsumption,LostPackets,Jitter
1,0.000301775,10.2349,1120.78,3,4.46549e-06
2,0.000334736,102.349,292.987,3,3.29615e-05
3,0.146268,52.8555,701.09,2903,0.145933
4,0.172639,46.3872,658.046,3282,0.0263714
5,0.00046991,10.2315,694.551,5,0.000469792
6,0.000297309,10.2366,704.46,2,0.0001726
1,0.000417733,10.2349,1071.06,3,8.30427e-05
2,0.228621,24.5077,1045.29,4564,0.228203
3,0.0914333,71.2192,667.183,1827,0.137188
4,0.000770518,102.281,722.482,7,0.0906628
5,0.000327253,10.2366,1305.45,2,0.000327135
6,0.00033469,10.2366,601.115,2,7.43654e-06
1,0.000281294,10.2366,953.899,2,4.63715e-06
2,0.00029035,102.349,880.906,3,9.0556e-06
3,0.192798,36.9323,113.033,3836,0.192507
4,0.000321489,102.349,1033.49,3,0.192476
5,0.000272312,10.2366,1030.04,2,0.000272194
6,0.000285931,10.2366,5.83613,2,1.36187e-05
1,0.000280483,10.2366,947.727,2,4.46549e-06
2,0.198547,34.7989,1178.72,3961,0.198267
3,0.00030741,102.349,282.855,3,0.19824
4,0.0597998,82.1419,222.137,1187,0.0594924
5,0.000271552,10.2366,198.175,2,0.000271434
6,0.000276017,10.2366,261.722,2,4.46549e-06
1,0.000344669,10.2349,1495.73,3,7.67221e-06
2,0.000374246,102.349,23.3332,3,2.95768e-05
3,0.000394273,102.332,337.581,4,2.00275e-05
4,0.008969,98.8672,610.227,207,0.00857472
5,0.00815917,9.92427,420.907,185,0.00815905
6,0.000352341,10.2332,1024.22,4,0.00780683
1,0.000514167,10.2349,327.77,3,0.000204172
2,0.160232,58.1803,1191.74,2591,0.159718
3,0.000348301,102.349,744.692,3,0.159884
4,0.0555149,88.9856,107.369,786,0.0551666
5,0.000297149,10.2366,1090.94,2,0.000297031
6,0.000309995,10.2366,442.474,2,1.28461e-05
1,0.000330631,10.2366,0.833153,2,2.09112e-05
2,0.218162,28.7232,616.973,4317,0.217832
3,0.220561,27.904,873.583,4365,0.00239823
4,0.000732997,102.298,823.108,6,0.219828
5,0.000309612,10.2366,752.685,2,0.000309494
6,0.000351542,10.2366,258.797,2,4.19298e-05
1,0.000329042,10.2349,70.9994,3,4.8556e-05
2,0.000358185,102.349,854.961,3,2.91437e-05
3,0.000311388,102.349,985.574,3,4.67976e-05
4,0.000320389,102.349,617.782,3,9.00095e-06
5,0.000271547,10.2366,607.973,2,0.000271429
6,0.000280486,10.2366,137.064,2,8.93842e-06
1,0.000390699,10.2298,394.784,6,0.000100893
2,0.181107,40.9429,1614.03,3601,0.180716
3,0.00864332,99.8741,1357.21,148,0.172464
4,0.204697,32.9045,623.299,4072,0.196054
5,0.000280383,10.2349,717.415,3,0.000280265
6,0.000289807,10.2349,1049.7,3,9.42375e-06
1,0.000347869,10.2349,1073.73,3,6.52383e-05
2,0.179005,41.5232,768.593,3567,0.178657
3,0.000311659,102.349,1049.95,3,0.178693
4,0.230702,23.8933,1093.81,4600,0.230391
5,0.000318198,10.2349,970.55,3,0.00031808
6,0.000282631,10.2366,1236.51,2,3.55677e-05
1,0.000292433,10.2366,671.896,2,4.46549e-06
2,0.222777,23.6373,665.36,4615,0.222484
3,0.00284892,95.6928,1770.57,393,0.219928
4,0.00033813,102.349,874.821,3,0.00251079
5,0.000283911,10.2366,1592.88,2,0.000283793
6,0.000287968,10.2366,1212.86,2,4.05612e-06
1,0.000293499,10.2349,1645.47,3,7.46062e-06
2,0.000310295,102.349,470.864,3,1.67956e-05
3,0.124589,58.7093,773.757,2560,0.124279
4,0.000321994,102.349,1159.85,3,0.124267
5,0.000374032,10.2349,624.118,3,0.000373914
6,0.000286039,10.2366,797.609,2,8.7993e-05
1,0.00102227,10.2298,1365.37,6,0.000650772
2,0.201844,34.8331,824.973,3959,0.200822
3,0.000365546,102.315,617.76,5,0.201479
4,0.280232,8.07253,807.561,5527,0.279867
5,0.000348026,10.2349,1401.89,3,0.000347908
6,0.0003715,10.2366,1616.69,2,2.34741e-05
1,0.000374317,10.2349,1423.36,3,1.34929e-05
2,0.126938,59.4091,432.275,2519,0.126563
3,0.232644,22.8352,534.363,4662,0.105706
4,0.256002,14.8992,1020.23,5127,0.0233583
5,0.0209498,10.1393,214.374,59,0.0209496
6,0.00038781,10.2349,865.769,3,0.0205619
1,0.000284983,10.2366,732.546,2,8.69429e-06
2,0.058332,82.6197,420.873,1159,0.058047
3,0.00030739,102.349,594.514,3,0.0580246
4,0.0613245,81.6128,270.924,1218,0.0610171
5,0.000271591,10.2366,1165.79,2,0.000271473
6,0.000276289,10.2366,984.26,2,4.69771e-06
