User,Throughput
1,10.2349
2,102.349
3,52.8555
4,46.3872
5,10.2315
6,10.2366
1,10.2349
2,24.5077
3,71.2192
4,102.281
5,10.2366
6,10.2366
1,10.2366
2,102.349
3,36.9323
4,102.349
5,10.2366
6,10.2366
1,10.2366
2,34.7989
3,102.349
4,82.1419
5,10.2366
6,10.2366
1,10.2349
2,102.349
3,102.332
4,98.8672
5,9.92427
6,10.2332
1,10.2349
2,58.1803
3,102.349
4,88.9856
5,10.2366
6,10.2366
1,10.2366
2,28.7232
3,27.904
4,102.298
5,10.2366
6,10.2366
1,10.2349
2,102.349
3,102.349
4,102.349
5,10.2366
6,10.2366
1,10.2298
2,40.9429
3,99.8741
4,32.9045
5,10.2349
6,10.2349
1,10.2349
2,41.5232
3,102.349
4,23.8933
5,10.2349
6,10.2366
1,10.2366
2,23.6373
3,95.6928
4,102.349
5,10.2366
6,10.2366
1,10.2349
2,102.349
3,58.7093
4,102.349
5,10.2349
6,10.2366
1,10.2298
2,34.8331
3,102.315
4,8.07253
5,10.2349
6,10.2366
1,10.2349
2,59.4091
3,22.8352
4,14.8992
5,10.1393
6,10.2349
1,10.2366
2,82.6197
3,102.349
4,81.6128
5,10.2366
6,10.2366
