User,Delay
1,0.000289463
2,0.263786
3,0.000311557
4,0.256107
5,0.000339636
6,0.00028587
1,0.000293647
2,0.000302621
3,0.000311524
4,0.000430516
5,0.00027508
6,0.00032377
1,0.000280483
2,0.000294005
3,0.000319778
4,0.000320217
5,0.000271558
6,0.000276015
1,0.00036359
2,0.000323928
3,0.214466
4,0.000446389
5,0.000286726
6,0.00054717
1,0.000289403
2,0.163978
3,0.26109
4,0.000383344
5,0.000271552
6,0.000341246
1,0.000291511
2,0.259587
3,0.122475
4,0.182226
5,0.000279831
6,0.000379586
1,0.000285298
2,0.000291432
3,0.0671686
4,0.116715
5,0.000294844
6,0.000277859
1,0.000442971
2,0.000308764
3,0.241271
4,0.000327631
5,0.000276611
6,0.000289621
1,0.000333491
2,0.000355132
3,0.242473
4,0.101095
5,0.000321638
6,0.000330709
1,0.000356044
2,0.23902
3,0.000317349
4,0.000334386
5,0.000278914
6,0.000312899
1,0.000383936
2,0.268795
3,0.000408359
4,0.000422017
5,0.000347908
6,0.000353744
1,0.000311952
2,0.000626769
3,0.000381888
4,0.181535
5,0.00030396
6,0.000306841
1,0.000281093
2,0.209855
3,0.000303509
4,0.000329258
5,0.000272162
6,0.000276628
1,0.000284944
2,0.243379
3,0.000316311
4,0.094943
5,0.000271562
6,0.000280495
1,0.00536393
2,0.246196
3,0.270469
4,0.000325801
5,0.018643
6,0.000318775
