User,EnergyConsumption
1,1396.35
2,690.725
3,217.462
4,390.502
5,278.264
6,494.03
1,307.808
2,334.186
3,599.063
4,165.007
5,1102.46
6,530.865
1,342.158
2,219.371
3,806.38
4,530.28
5,260.33
6,1290.25
1,338.13
2,63.9641
3,1350.58
4,1786.27
5,1590.54
6,453.59
1,1449.7
2,1127.72
3,1551.62
4,1291.49
5,279.006
6,500.626
1,831.5
2,1112.48
3,190.68
4,1402.4
5,747.876
6,1038.06
1,193.934
2,16.1212
3,635.519
4,729.553
5,750.74
6,1035.32
1,402.901
2,130.46
3,992.68
4,1102.31
5,921.537
6,621.946
1,244.655
2,93.9382
3,372.039
4,562.766
5,739.934
6,893.015
1,946.286
2,1085.97
3,473.472
4,423.185
5,686.724
6,517.697
1,61.0127
2,1610.58
3,154.022
4,431.322
5,391.778
6,874.219
1,515.8
2,696.355
3,360.531
4,622.742
5,778.149
6,583.213
1,46.7815
2,1116.29
3,494.893
4,155.336
5,546.582
6,481.167
1,802.729
2,1190.76
3,620.025
4,327.989
5,394.457
6,548.52
1,681.129
2,1909.87
3,1029.71
4,981.491
5,633.365
6,1342.23
