User,Delay,Throughput,EnergyConsumption,LostPackets,Jitter
1,0.000289463,10.2349,1396.35,3,3.59262e-06
2,0.263786,12.6464,690.725,5259,0.263496
3,0.000311557,102.349,217.462,3,0.263474
4,0.256107,15.2747,390.502,5105,0.255796
5,0.000339636,10.2349,278.264,3,0.000339518
6,0.00028587,10.2366,494.03,2,5.37658e-05
1,0.000293647,10.2349,307.808,3,3.01235e-05
2,0.000302621,102.349,334.186,3,8.9749e-06
3,0.000311524,102.349,599.063,3,8.90269e-06
4,0.000430516,102.349,165.007,3,0.000118991
5,0.00027508,10.2366,1102.46,2,0.000274962
6,0.00032377,10.2349,530.865,3,4.86896e-05
1,0.000280483,10.2366,342.158,2,4.46772e-06
2,0.000294005,102.349,219.371,3,1.35224e-05
3,0.000319778,102.349,806.38,3,2.57725e-05
4,0.000320217,102.349,530.28,3,4.39852e-07
5,0.000271558,10.2366,260.33,2,0.00027144
6,0.000276015,10.2366,1290.25,2,4.4573e-06
1,0.00036359,10.2349,338.13,3,0.00018358
2,0.000323928,102.349,63.9641,3,3.96621e-05
3,0.214466,23.1936,1350.58,4641,0.214142
4,0.000446389,102.349,1786.27,3,0.21402
5,0.000286726,10.2366,1590.54,2,0.000286608
6,0.00054717,10.2298,453.59,6,0.000260444
1,0.000289403,10.2349,1449.7,3,5.18421e-05
2,0.163978,46.592,1127.72,3270,0.163688
3,0.26109,13.4315,1551.62,5213,0.0971121
4,0.000383344,102.349,1291.49,3,0.260706
5,0.000271552,10.2366,279.006,2,0.000271434
6,0.000341246,10.2349,500.626,3,6.96938e-05
1,0.000291511,10.2366,831.5,2,8.80747e-05
2,0.259587,14.2677,1112.48,5164,0.259296
3,0.122475,61.0816,190.68,2421,0.137112
4,0.182226,40.6699,1402.4,3617,0.0597503
5,0.000279831,10.2366,747.876,2,0.000279713
6,0.000379586,10.2366,1038.06,2,9.97544e-05
1,0.000285298,10.2366,193.934,2,7.43892e-06
2,0.000291432,102.349,16.1212,3,6.1337e-06
3,0.0671686,79.8549,635.519,1321,0.0668772
4,0.116715,62.9419,729.553,2312,0.0495461
5,0.000294844,10.2366,750.74,2,0.000294726
6,0.000277859,10.2366,1035.32,2,1.69849e-05
1,0.000442971,10.2349,402.901,3,0.00015335
2,0.000308764,102.349,130.46,3,0.000134207
3,0.241271,21.7941,992.68,4723,0.240962
4,0.000327631,102.349,1102.31,3,0.240943
5,0.000276611,10.2366,921.537,2,0.000276493
6,0.000289621,10.2366,621.946,2,1.30097e-05
1,0.000333491,10.2366,244.655,2,2.78256e-06
2,0.000355132,102.332,93.9382,4,2.16403e-05
3,0.242473,21.0603,372.039,4766,0.242118
4,0.101095,54.8864,562.766,2784,0.141378
5,0.000321638,10.2366,739.934,2,0.00032152
6,0.000330709,10.2366,893.015,2,9.07034e-06
1,0.000356044,10.2349,946.286,3,4.31455e-05
2,0.23902,21.3675,1085.97,4748,0.238664
3,0.000317349,102.349,473.472,3,0.238702
4,0.000334386,102.349,423.185,3,1.70367e-05
5,0.000278914,10.2366,686.724,2,0.000278796
6,0.000312899,10.2366,517.697,2,3.39846e-05
1,0.000383936,10.2315,61.0127,5,3.0192e-05
2,0.268795,10.7349,1610.58,5371,0.268411
3,0.000408359,102.315,154.022,5,0.268387
4,0.000422017,102.315,431.322,5,1.36587e-05
5,0.000347908,10.2315,391.778,5,0.00034779
6,0.000353744,10.2315,874.219,5,5.83559e-06
1,0.000311952,10.2366,515.8,2,5.1115e-06
2,0.000626769,102.315,696.355,5,0.000314817
3,0.000381888,102.349,360.531,3,0.000244881
4,0.181535,43.1787,622.742,3470,0.181153
5,0.00030396,10.2366,778.149,2,0.000303842
6,0.000306841,10.2366,583.213,2,2.88089e-06
1,0.000281093,10.2366,46.7815,2,4.46549e-06
2,0.209855,30.9419,1116.29,4187,0.209574
3,0.000303509,102.349,494.893,3,0.209552
4,0.000329258,102.349,155.336,3,2.57483e-05
5,0.000272162,10.2366,546.582,2,0.000272044
6,0.000276628,10.2366,481.167,2,4.46549e-06
1,0.000284944,10.2366,802.729,2,4.44911e-06
2,0.243379,19.4901,1190.76,4858,0.243095
3,0.000316311,102.349,620.025,3,0.243063
4,0.094943,70.1611,327.989,1889,0.0946267
5,0.000271562,10.2366,394.457,2,0.000271444
6,0.000280495,10.2366,548.52,2,8.93321e-06
1,0.00536393,10.1052,681.129,79,0.00504515
2,0.246196,18.7221,1909.87,4903,0.240832
3,0.270469,10.3424,1029.71,5394,0.0242729
4,0.000325801,102.332,981.491,4,0.270143
5,0.018643,9.5744,633.365,390,0.0186429
6,0.000318775,10.2366,1342.23,2,0.0183242
