User,Throughput
1,10.2349
2,12.6464
3,102.349
4,15.2747
5,10.2349
6,10.2366
1,10.2349
2,102.349
3,102.349
4,102.349
5,10.2366
6,10.2349
1,10.2366
2,102.349
3,102.349
4,102.349
5,10.2366
6,10.2366
1,10.2349
2,102.349
3,23.1936
4,102.349
5,10.2366
6,10.2298
1,10.2349
2,46.592
3,13.4315
4,102.349
5,10.2366
6,10.2349
1,10.2366
2,14.2677
3,61.0816
4,40.6699
5,10.2366
6,10.2366
1,10.2366
2,102.349
3,79.8549
4,62.9419
5,10.2366
6,10.2366
1,10.2349
2,102.349
3,21.7941
4,102.349
5,10.2366
6,10.2366
1,10.2366
2,102.332
3,21.0603
4,54.8864
5,10.2366
6,10.2366
1,10.2349
2,21.3675
3,102.349
4,102.349
5,10.2366
6,10.2366
1,10.2315
2,10.7349
3,102.315
4,102.315
5,10.2315
6,10.2315
1,10.2366
2,102.315
3,102.349
4,43.1787
5,10.2366
6,10.2366
1,10.2366
2,30.9419
3,102.349
4,102.349
5,10.2366
6,10.2366
1,10.2366
2,19.4901
3,102.349
4,70.1611
5,10.2366
6,10.2366
1,10.1052
2,18.7221
3,10.3424
4,102.332
5,9.5744
6,10.2366
