User,Train Accuracy,Validation Accuracy,Timestamp
151.17,0.7984,0.9671,2024-12-01 23:33:20
66.43,0.32025,0.9202,2024-12-02 01:02:40
154.13,0.65075,0.9628,2024-12-02 02:21:02
51.55,0.7733166666666667,0.9642,2024-12-02 03:37:29
151.17,0.7296833333333334,0.9617,2024-12-02 04:54:49
91.84,0.43095,0.934,2024-12-02 13:57:12
151.17,0.6564333333333333,0.9591,2024-12-02 15:33:32
91.84,0.3985166666666667,0.9379,2024-12-02 17:33:29
51.55,0.5811166666666666,0.9516,2024-12-02 19:00:55
90.04,0.7443166666666666,0.9597,2024-12-02 20:26:53
154.13,0.7181333333333333,0.965,2024-12-02 21:59:29
151.17,0.7772666666666667,0.9667,2024-12-02 23:17:27
51.55,0.4195833333333333,0.9279,2024-12-03 08:33:30
151.17,0.6324666666666666,0.9576,2024-12-03 09:44:40
51.55,0.3701166666666666,0.9308,2024-12-03 13:30:28
66.43,0.6146666666666667,0.9631,2024-12-03 14:45:13
154.13,0.6983166666666667,0.9654,2024-12-03 16:21:59
90.04,0.7289833333333333,0.9621,2024-12-03 17:56:30
151.17,0.7781166666666667,0.962,2024-12-03 19:17:45
91.84,0.44555,0.9405,2024-12-04 20:16:48
151.17,0.5455666666666666,0.9464,2024-12-04 21:30:21
90.04,0.4657666666666666,0.9473,2024-12-05 09:22:47
91.84,0.5779833333333333,0.9529,2024-12-05 11:17:13
154.13,0.4660666666666667,0.9366,2024-12-05 14:55:21
66.43,0.5247666666666667,0.9539,2024-12-05 16:59:39
151.17,0.6801,0.9629,2024-12-05 18:32:27
154.13,0.43335,0.9458,2024-12-05 22:06:58
66.43,0.603,0.9573,2024-12-05 23:29:59
51.55,0.4478166666666666,0.9382,2024-12-06 09:20:58
154.13,0.6467333333333334,0.9608,2024-12-06 10:42:45
90.04,0.7004166666666667,0.9674,2024-12-06 12:03:12
66.43,0.7253666666666667,0.9617,2024-12-06 13:26:37
91.84,0.764,0.9731,2024-12-06 14:45:40
151.17,0.7526166666666667,0.9655,2024-12-06 16:05:44
51.55,0.3755833333333333,0.9275,2024-12-06 19:34:13
91.84,0.6916833333333333,0.9605,2024-12-06 20:55:29
66.43,0.7185,0.9662,2024-12-06 22:19:15
90.04,0.3562166666666667,0.9171,2024-12-07 12:34:40
51.55,0.6286,0.9554,2024-12-07 13:58:18
154.13,0.7209333333333333,0.9537,2024-12-07 15:25:43
151.17,0.7410666666666667,0.9659,2024-12-07 17:07:20
91.84,0.42965,0.9394,2024-12-07 20:09:12
66.43,0.6587166666666666,0.963,2024-12-07 21:35:25
151.17,0.6751166666666667,0.9622,2024-12-07 23:15:26
154.13,0.39815,0.9289,2024-12-08 20:53:37
154.13,0.3831333333333333,0.928,2024-12-09 14:08:17
90.04,0.6736833333333333,0.9645,2024-12-09 16:15:59
66.43,0.6312666666666666,0.9559,2024-12-09 18:55:25
51.55,0.7269333333333333,0.9535,2024-12-09 20:59:49
91.84,0.77685,0.9688,2024-12-09 22:48:22
151.17,0.39055,0.9396,2024-12-10 10:25:04
51.55,0.4781833333333333,0.9438,2024-12-10 14:17:23
154.13,0.5853,0.9605,2024-12-10 16:08:14
151.17,0.6800166666666667,0.9413,2024-12-10 17:59:34
51.55,0.47645,0.9478,2024-12-10 20:35:50
151.17,0.5864333333333334,0.9547,2024-12-10 22:27:00
90.04,0.44825,0.947,2024-12-11 08:45:55
154.13,0.5947,0.9552,2024-12-11 10:07:41
66.43,0.6027,0.9659,2024-12-11 12:07:43
151.17,0.7518333333333334,0.9708,2024-12-11 13:36:26
51.55,0.4114,0.9412,2024-12-11 17:44:17
151.17,0.6317166666666667,0.9543,2024-12-11 19:30:18
