User,Throughput,Percentage
151.17,5118,1.93
90.04,5916,2.23
51.55,5942,2.24
66.43,4444,1.68
154.13,6000,2.26
91.84,4746,1.79
151.17,4998,1.89
90.04,3390,1.28
51.55,6000,2.26
66.43,5909,2.23
154.13,4,0.0
91.84,4740,1.79
151.17,6000,2.26
90.04,6000,2.26
51.55,6000,2.26
66.43,6000,2.26
154.13,6000,2.26
91.84,5298,2.0
151.17,6000,2.26
90.04,6000,2.26
51.55,6000,2.26
66.43,5952,2.25
154.13,6000,2.26
91.84,5993,2.26
151.17,5102,1.93
90.04,2321,0.88
51.55,6000,2.26
66.43,6000,2.26
154.13,6000,2.26
91.84,392,0.15
151.17,5,0.0
90.04,6000,2.26
51.55,5913,2.23
66.43,5999,2.26
154.13,6000,2.26
91.84,6000,2.26
151.17,3,0.0
90.04,6000,2.26
51.55,3113,1.17
66.43,6000,2.26
154.13,6000,2.26
91.84,6000,2.26
151.17,3,0.0
90.04,5088,1.92
51.55,3,0.0
66.43,5750,2.17
154.13,3,0.0
91.84,2,0.0
151.17,3280,1.24
90.04,5737,2.16
51.55,5688,2.15
66.43,3,0.0
154.13,3,0.0
91.84,3,0.0
151.17,238,0.09
90.04,5905,2.23
51.55,5913,2.23
66.43,5906,2.23
154.13,5113,1.93
91.84,5070,1.91
