User,Throughput,Percentage
151.17,2.50528,0.39
90.04,2.4336,0.38
51.55,1.989867,0.31
66.43,52.5557,8.16
154.13,1.0,0.16
91.84,4.14016,0.64
151.17,2.71008,0.42
90.04,88.544,13.75
51.55,2.0,0.31
66.43,1.55307,0.24
154.13,20.2332,3.14
91.84,4.1504,0.64
151.17,1.0,0.16
90.04,1.0,0.16
51.55,1.0,0.16
66.43,1.0,0.16
154.13,1.0,0.16
91.84,1.19808,0.19
151.17,0.0,0.0
90.04,0.0,0.0
51.55,0.0,0.0
66.43,0.8192,0.13
154.13,0.0,0.0
91.84,0.0112267,0.0
151.17,1.53259,0.24
90.04,62.7883,9.75
51.55,0.0,0.0
66.43,0.0,0.0
154.13,0.0,0.0
91.84,9.57099,1.49
151.17,10.2315,1.59
90.04,0.0,0.0
51.55,1.4848,0.23
66.43,0.00173333,0.0
154.13,0.0,0.0
91.84,0.0,0.0
151.17,10.2349,1.59
90.04,0.0,0.0
51.55,49.2715,7.65
66.43,0.0,0.0
154.13,0.0,0.0
91.84,0.0,0.0
151.17,10.2349,1.59
90.04,15.5648,2.42
51.55,102.349,15.9
66.43,4.26667,0.66
154.13,10.2349,1.59
91.84,10.2366,1.59
151.17,4.64213,0.72
90.04,4.48853,0.7
51.55,5.3248,0.83
66.43,102.349,15.9
154.13,10.2349,1.59
91.84,10.2349,1.59
151.17,9.83381,1.53
90.04,1.62133,0.25
51.55,1.4848,0.23
66.43,1.60427,0.25
154.13,1.51381,0.24
91.84,1.5872,0.25
