NodeType,NodeId,X,Y,Z,DistanceFromBSS
gNB,0,0,0,0,0
UE,1,15.9032,104.749,1.5,105.96
UE,2,85.1731,136.567,1.5,160.957
UE,3,93.1045,107.205,1.5,141.998
UE,4,148.08,99.6952,1.5,178.519
UE,5,68.7213,80.6865,1.5,105.996
UE,6,124.262,149.682,1.5,194.546
UE,7,44.4993,86.6919,1.5,97.4573
UE,8,97.9535,119.973,1.5,154.889
UE,9,76.2036,112.553,1.5,135.932
UE,10,22.8905,117.546,1.5,119.764
UE,11,118.98,94.3539,1.5,151.859
UE,12,58.0702,149.554,1.5,160.44
UE,13,140.444,37.3292,1.5,145.328
UE,14,136.457,88.6023,1.5,162.705
UE,15,135.082,1.89254,1.5,135.103
UE,16,38.8215,129.794,1.5,135.484
UE,17,4.4818,130.156,1.5,130.242
UE,18,110.68,14.9455,1.5,111.695
UE,19,88.7417,123.757,1.5,152.293
UE,20,122.394,100.224,1.5,158.2
UE,21,90.6248,71.6399,1.5,115.531
