User,Train Accuracy,Validation Accuracy,Timestamp
user 1,0.7984,0.9671,2024-12-01 23:33:20
user 4,0.32025,0.9202,2024-12-02 01:02:40
user 5,0.65075,0.9628,2024-12-02 02:21:02
user 3,0.7733166666666667,0.9642,2024-12-02 03:37:29
user 1,0.7296833333333334,0.9617,2024-12-02 04:54:49
user 6,0.43095,0.934,2024-12-02 13:57:12
user 1,0.6564333333333333,0.9591,2024-12-02 15:33:32
user 6,0.3985166666666667,0.9379,2024-12-02 17:33:29
user 3,0.5811166666666666,0.9516,2024-12-02 19:00:55
user 2,0.7443166666666666,0.9597,2024-12-02 20:26:53
user 5,0.7181333333333333,0.965,2024-12-02 21:59:29
user 1,0.7772666666666667,0.9667,2024-12-02 23:17:27
user 3,0.4195833333333333,0.9279,2024-12-03 08:33:30
user 1,0.6324666666666666,0.9576,2024-12-03 09:44:40
user 3,0.37011666666666665,0.9308,2024-12-03 13:30:28
user 4,0.6146666666666667,0.9631,2024-12-03 14:45:13
user 5,0.6983166666666667,0.9654,2024-12-03 16:21:59
user 2,0.7289833333333333,0.9621,2024-12-03 17:56:30
user 1,0.7781166666666667,0.962,2024-12-03 19:17:45
user 6,0.44555,0.9405,2024-12-04 20:16:48
user 1,0.5455666666666666,0.9464,2024-12-04 21:30:21
user 2,0.46576666666666666,0.9473,2024-12-05 09:22:47
user 6,0.5779833333333333,0.9529,2024-12-05 11:17:13
user 5,0.4660666666666667,0.9366,2024-12-05 14:55:21
